Time (ns)	RMSD	RMSF	rGyr	SASA
135.8	8.243		5.232	227.912
136	7.303		5.332	267.497
136.2	8.492		5.118	239.506
136.4	8.343		5.326	258.343
136.6	8.64		5.047	261.075
136.8	8.506		5.274	255.049
137	7.614		5.285	214.83
137.2	8.178		5.407	238.905
137.4	8.246		5.338	260.643
137.6	7.538		5.503	278.26
137.8	7.555		5.453	243.107
138	7.398		5.358	250.198
138.2	8.438		5.328	245.067
138.4	9.371		5.085	254.406
138.6	9.766		5.146	268.616
138.8	8.13		5.342	245.806
139	8.255		5.097	240.612
139.2	8.549		5.305	259.541
139.4	8.088		5.281	258.059
139.6	8.358		5.256	268.081
139.8	6.722		5.177	217.973
140	7.343		5.152	236.421
140.2	7.989		5.193	249.411
140.4	8.994		5.149	269.794
140.6	8.286		4.926	238.675
140.8	7.801		5.013	221.188
141	9.12		5.093	228.958
141.2	8.869		5.36	291.88
141.4	7.836		5.142	244.503
141.6	7.927		5.474	299.742
141.8	7.516		5.238	254.544
142	8.154		5.095	227.138
142.2	8.55		5.187	250.525
142.4	8.667		5.229	246.265
142.6	7.957		5.1	243.574
142.8	7.909		5.178	243.445
143	7.359		5.384	253.387
143.2	7.68		5.23	223.515
143.4	7.768		5.183	241.814
143.6	7.987		5.048	242.339
143.8	8.533		5.146	241.863
144	8.693		5.194	231.677
144.2	7.076		5.21	236.749
144.4	8.578		5.144	241.805
144.6	8.922		5.105	231.076
144.8	8.741		5.213	246.075
145	8.196		5.131	236.282
145.2	8.701		5.061	220.988
145.4	8.313		5.221	266.303
145.6	8.286		5.304	235.292
145.8	7.304		5.466	240.972
146	7.474		5.15	247.61
146.2	8.384		5.436	289.888
146.4	7.763		5.351	266.285
146.6	7.579		5.361	231.518
146.8	9.056		5.259	237.453
147	8.612		5.274	238.959
147.2	6.857		5.281	227.144
147.4	6.408		5.343	218.499
147.6	7.977		5.266	225.572
147.8	6.656		5.309	223.478
148	8.047		5.36	259.385
148.2	7.732		5.325	265.495
148.4	9.013		5.317	226.897
148.6	8.221		5.149	221.78
148.8	9.06		4.977	244.625
149	7.102		5.419	257.514
149.2	7.906		5.315	266.574
149.4	8.547		5.135	206.695
149.6	8.809		5.272	240.772
149.8	7.936		5.052	221.623
150	8.612		5.097	248.237
150.2	9.173		5.053	218.438
150.4	8.628		5.112	236.059
150.6	7.623		5.454	267.9
150.8	7.767		5.333	253.1
151	8.624		4.957	224.691
151.2	8.467		5.309	264.354
151.4	8.109		5.339	279.626
151.6	8.213		5.201	235.41
151.8	9.028		5.107	231.303
152	8.5		5.258	264.007
152.2	8.429		5.117	247.536
152.4	8.609		5.494	288.245
152.6	6.301		5.474	258.597
152.8	8.264		5.283	254.326
153	8.36		5.281	282.36
153.2	8.511		5.232	270.177
153.4	7.617		5.366	248.148
153.6	8.199		5.404	265.473
153.8	7.395		5.291	237.237
154	8.083		5.25	239.761
154.2	7.421		5.348	230.661
154.4	6.889		5.33	221.427
154.6	8.856		5.023	240.051
154.8	8.821		5.083	221.088
155	7.704		5.176	216.554
155.2	8.045		5.049	250.607
155.4	8.104		5.182	215.627
155.6	8.63		5.207	261.817
155.8	8.712		5.35	260.575
156	6.815		5.296	215.663
156.2	8.056		5.405	246.384
156.4	8.161		5.423	266.31
156.6	7.604		5.083	241.569
156.8	8.519		5.391	259.592
157	8.306		5.226	240.12
157.2	8.69		5.086	235.137
157.4	9.199		5.147	260.581
157.6	7.303		5.363	253.415
157.8	7.606		5.415	242.485
158	7.927		5.188	255.557
158.2	8.602		5.122	255.822
158.4	7.323		5.434	255.896
158.6	8.928		5.049	226.289
158.8	7.26		5.249	228.577
159	8.206		5.404	210.135
159.2	7.656		5.436	249.309
159.4	8.686		5.053	219.47
159.6	8.978		5.17	234.458
159.8	8.368		4.999	239.951
160	7.778		5.436	261.238
160.2	8.542		5.36	231.881
160.4	8.404		5.375	280.853
160.6	8.173		5.454	289.353
160.8	8.149		5.257	267.689
161	8.116		5.138	222.504
161.2	7.607		5.241	262.112
161.4	8.481		5.031	203.123
161.6	8.394		5.604	267.127
161.8	8.629		5.229	236.821
162	7.183		5.324	223.987
162.2	7.94		5.27	238.03
162.4	9.305		5.371	247.508
162.6	8.261		5.322	271.207
162.8	8.535		5.02	239.406
163	8.486		5.013	247.953
163.2	8.972		5.026	237.703
163.4	8.788		5.369	272.347
163.6	8.336		5.366	279.234
163.8	7.806		5.226	253.512
164	7.822		5.369	281.298
164.2	8.737		5.455	292.974
164.4	9.277		5.13	223.097
164.6	9.407		4.979	239.285
164.8	8.93		5.156	245.781
165	8.87		5.141	251.616
165.2	7.895		5.341	231.186
165.4	9.366		5.065	225.865
165.6	9.131		5.191	231.077
165.8	8.881		4.988	226.194
166	8.116		5.337	263.645
166.2	8.739		5.301	255.296
166.4	7.535		5.475	275.178
166.6	8.915		5.112	257.425
166.8	7.223		5.368	288.017
167	7.891		5.228	249.822
167.2	8.678		5.134	258.777
167.4	8.365		5.127	243.106
167.6	8.031		5.433	288.476
167.8	8.142		5.259	267.713
168	9.106		4.979	240.359
168.2	8.36		5.249	248.684
168.4	9.148		5.036	243.376
168.6	7.77		5.409	264.771
168.8	8.583		5.156	240.85
169	7.548		5.467	300.651
169.2	8.623		5.231	263.574
169.4	8.299		5.505	284.569
169.6	8.532		5.176	259.837
169.8	7.184		5.41	263.11
170	8.328		5.08	258.116
170.2	8.396		5.195	270.622
170.4	8.106		5.039	227.387
170.6	8.258		5.444	298.541
170.8	9.3		5.252	293.042
171	7.813		5.339	235.787
171.2	8.751		5.231	266.888
171.4	7.633		5.41	286.072
171.6	9.243		5.289	278.788
171.8	8.526		5.24	259.5
172	7.82		5.203	278.045
172.2	7.827		5.448	249.995
172.4	8.341		5.168	237.973
172.6	8.76		5.169	266.87
172.8	7.774		5.362	308.368
173	8.28		5.31	266.761
173.2	5.666		5.382	253.725
173.4	7.912		5.429	290.158
173.6	8.614		5.218	227.618
173.8	7.897		5.211	249.637
174	8.357		5.34	280.051
174.2	8.456		5.195	264.135
174.4	8.349		5.198	246.273
174.6	8.984		5.246	267.736
174.8	7.784		5.128	228.88
175	9.273		5.218	250.09
175.2	8.472		5.15	272.473
175.4	8.273		5.388	295.263
175.6	7.644		5.131	268.668
175.8	8.451		5.091	263.179
176	8.931		5.312	288.995
176.2	8.058		5.425	306.652
176.4	8.781		5.287	287.568
176.6	8.232		5.163	255.58
