#		Time (ns)	RMSD	RMSF	rGyr	SASA
		57.8	6.502		5.296	230.447
		58	7.364		5.594	227.241
		58.2	6.522		5.445	195.216
		58.4	7.041		5.342	200.841
		58.6	6.391		5.557	235.479
		58.8	6.665		5.443	228.714
		59	7.593		5.389	245.7
		59.2	7.387		5.416	248.008
		59.4	7.552		5.354	231.793
		59.6	7.342		5.463	234.626
		59.8	6.689		5.495	201.929
		60	6.604		5.424	219.127
		60.2	7.073		5.231	222.84
		60.4	6.667		5.599	224.33
		60.6	5.927		5.296	228.941
		60.8	7.081		5.597	212.73
		61	5.961		5.344	211.102
		61.2	7.248		5.652	219.888
		61.4	7.129		5.386	195.572
		61.6	6.825		5.29	178.992
		61.8	6.793		5.44	200.427
		62	7.21		5.47	211.292
		62.2	7.344		5.394	238.384
		62.4	7.014		5.47	213.094
		62.6	6.434		5.281	226.829
		62.8	6.497		5.337	199.567
		63	6.987		5.439	220.723
		63.2	7.141		5.446	244.831
		63.4	7.258		5.477	243.525
		63.6	7.147		5.51	261.482
		63.8	7.18		5.373	210.507
		64	7.33		5.36	232.355
		64.2	6.896		5.363	215.867
		64.4	6.769		5.346	204.655
		64.6	7.334		5.446	208.458
		64.8	7.45		5.435	234.595
		65	7.338		5.508	223.465
		65.2	7.179		5.339	222.646
		65.4	7.307		5.467	243.739
		65.6	6.765		5.256	225.771
		65.8	6.919		5.355	207.636
		66	7.369		5.286	227.024
		66.2	7.349		5.517	212.905
		66.4	7.098		5.42	237.507
		66.6	6.865		5.307	209.683
		66.8	7.341		5.223	229.865
		67	7.484		5.277	220.219
		67.2	6.351		5.479	204.847
		67.4	7.243		5.415	213.28
		67.6	7.353		5.444	212.362
		67.8	7.31		5.321	242.026
		68	7.075		5.327	240.948
		68.2	6.347		5.494	293.072
		68.4	6.726		5.433	256.199
		68.6	8.559		5.456	216.012
		68.8	7.673		5.442	193.43
		69	6.465		5.227	218.567
		69.2	7.037		5.38	215.937
		69.4	7.266		5.479	240.027
		69.6	6.503		5.343	239.302
		69.8	7.436		5.501	243.512
		70	6.871		5.407	217.271
		70.2	7.702		5.401	214.904
		70.4	7.284		5.357	245.554
		70.6	6.391		5.28	196.323
		70.8	5.999		5.19	205.244
		71	8.405		5.494	234.045
		71.2	7.522		5.296	227.885
		71.4	6.386		5.223	234.405
		71.6	7.245		5.291	215.692
		71.8	6.731		5.381	236.683
		72	6.974		5.43	249.717
		72.2	7.161		5.332	238.773
		72.4	7.275		5.408	233.133
		72.6	6.685		5.375	234.701
		72.8	7.707		5.401	250.733
		73	6.901		5.358	236.563
		73.2	7.568		5.376	215.106
		73.4	7.442		5.192	239.537
		73.6	7.198		5.26	213.238
		73.8	7.301		5.369	244.677
		74	6.933		5.242	240.255
		74.2	7.059		5.264	250.669
		74.4	6.76		5.145	226.083
		74.6	7.927		5.408	238.833
		74.8	7.66		5.436	223.297
		75	8.052		5.428	213.345
		75.2	7.516		5.396	226.776
		75.4	7.266		5.274	207.748
		75.6	8.271		5.393	208.483
		75.8	7.346		5.295	223.188
		76	7.175		5.338	249.328
		76.2	7.365		5.424	214.326
		76.4	7.007		5.296	217.078
		76.6	8.4		5.443	253.515
		76.8	7.074		5.219	196.99
		77	8.016		5.285	236.522
		77.2	7.752		5.359	234.603
		77.4	7.562		5.42	228.73
		77.6	7.732		5.373	246.828
		77.8	6.588		5.344	224.573
		78	6.745		5.502	254.378
		78.2	7.829		5.284	231.305
		78.4	7.449		5.265	235.619
		78.6	7.6		5.325	197.202
		78.8	6.763		5.267	207.318
		79	8.078		5.33	210.231
		79.2	7.548		5.354	222.853
		79.4	7.638		5.377	212.962
		79.6	7.61		5.339	204.879
		79.8	7.196		5.311	209.525
		80	7.206		5.354	213.281
		80.2	7.533		5.352	228.47
		80.4	8.133		5.434	190.691
		80.6	7.358		5.236	221.627
		80.8	7.167		5.23	218.372
		81	7.265		5.252	227.526
		81.2	6.366		5.414	259.071
		81.4	7.419		5.231	217.897
		81.6	7.767		5.447	222.011
		81.8	6.553		5.301	217.142
		82	7.752		5.44	229.987
		82.2	7.115		5.454	239.726
		82.4	7.445		5.453	212.297
		82.6	6.596		5.291	223.749
		82.8	6.822		5.454	304.082
		83	8.01		5.284	244.84
		83.2	6.387		5.343	240.531
		83.4	6.803		5.243	215.834
		83.6	7.938		5.457	198.176
		83.8	7.266		5.396	220.572
		84	7.339		5.354	246.473
		84.2	6.866		5.287	230.641
		84.4	7.093		5.402	255.568
		84.6	7.222		5.331	228.049
		84.8	7.132		5.193	193.044
		85	7.837		5.41	240.55
		85.2	6.875		5.412	245.407
		85.4	7.615		5.448	217.62
		85.6	7.641		5.265	244.148
		85.8	7.021		5.184	248.843
		86	6.926		5.301	201.568
		86.2	7.194		5.143	209.71
		86.4	7.022		5.333	241.704
		86.6	6.936		5.381	229.256
		86.8	7.647		5.36	214.897
		87	7.645		5.442	215.337
		87.2	7.498		5.544	212.239
		87.4	7.571		5.327	216.34
		87.6	6.356		5.462	215.394
		87.8	7.923		5.455	257.524
		88	7.503		5.33	195.342
		88.2	6.424		5.418	262.751
		88.4	6.797		5.19	207.212
		88.6	7.163		5.355	226.792
		88.8	7.182		5.214	210.314
		89	7.246		5.295	195.094
		89.2	7.557		5.509	218.367
		89.4	6.887		5.415	165.874
		89.6	7.258		5.488	218.36
		89.8	6.354		5.378	220.631
		90	6.883		5.35	222.031
		90.2	6.586		5.496	261.659
		90.4	7.141		5.596	252.527
		90.6	7.406		5.386	199.82
		90.8	7.27		5.46	204.011
		91	7.213		5.268	221.292
		91.2	7.395		5.371	232.158
		91.4	6.914		5.139	214.46
		91.6	7.322		5.34	234.949
		91.8	6.683		5.38	215.676
		92	7.434		5.442	238.648
		92.2	6.718		5.466	271.087
		92.4	6.398		5.332	230.177
		92.6	6.838		5.362	233.691
		92.8	6.87		5.41	242.369
		93	6.42		5.381	234.616
		93.2	5.711		5.329	256.616
		93.4	6.258		5.248	254.473
		93.6	7.814		5.211	238.405
		93.8	7.323		5.443	189.473
		94	7.373		5.568	203.396
		94.2	6.727		5.29	216.697
		94.4	6.302		5.35	234.451
		94.6	7.721		5.484	249.478
		94.8	6.349		5.376	205.641
		95	7.768		5.274	227.618
		95.2	7.259		5.418	208.684
		95.4	7.13		5.383	269.603
		95.6	6.618		5.377	238.682
		95.8	6.515		5.299	230.812
		96	7.255		5.216	255.392
		96.2	6.901		5.429	236.399
		96.4	7.4		5.245	249.173
		96.6	7.383		5.498	242.804
		96.8	8.043		5.453	261.415
		97	7.022		5.492	265.41
		97.2	7.607		5.454	235.395
		97.4	6.817		5.436	263.363
		97.6	7.542		5.41	259.113
		97.8	7.182		5.451	203.413
		98	7.617		5.389	247.564
		98.2	6.551		5.523	241.536
		98.4	7.138		5.417	245.401
		98.6	6.712		5.402	211.939
		98.8	7.239		5.373	222.622
		99	7.392		5.354	241.577
		99.2	7.526		5.357	219.579
		99.4	7.234		5.255	244.149
		99.6	7.475		5.399	212.881
		99.8	6.694		5.206	220.397
		100	6.741		5.244	182.882
		100.2	7.119		5.357	219.082
		100.4	7.512		5.395	220.797
