#			Time (ns)	RMSD	RMSF	rGyr	SASA
			64.6	6.293		5.321	202.922
			64.8	6.631		5.374	245.427
			65	6.363		5.365	200.972
			65.2	6.455		5.226	234.266
			65.4	6.686		5.319	225.055
			65.6	6.846		5.438	224.289
			65.8	6.554		5.269	245.162
			66	6.088		5.282	226.503
			66.2	6.01		5.267	216.946
			66.4	6.579		5.353	221.632
			66.6	6.558		5.23	222.641
			66.8	6.207		5.31	234.55
			67	6.057		5.214	209.605
			67.2	6.701		5.293	241.014
			67.4	7.222		5.36	231.022
			67.6	5.83		5.171	253.608
			67.8	6.671		5.277	255.777
			68	6.134		5.307	247.259
			68.2	6.249		5.11	196.258
			68.4	6.825		5.435	247.523
			68.6	6.874		5.197	212.834
			68.8	6.538		5.227	214.528
			69	6.876		5.291	231.653
			69.2	6.443		5.379	219.535
			69.4	6.626		5.445	222.186
			69.6	6.141		5.314	215.219
			69.8	6.676		5.449	247.255
			70	6.231		5.145	202.394
			70.2	6.683		5.267	224.963
			70.4	6.575		5.233	225.294
			70.6	6.56		5.243	227.71
			70.8	6.128		5.243	213.357
			71	6.242		5.306	237.542
			71.2	6.409		5.318	230.518
			71.4	6.937		5.391	234.607
			71.6	5.954		5.183	194.542
			71.8	7.034		5.366	265.847
			72	6.855		5.464	231.28
			72.2	6.772		5.339	229.801
			72.4	6.274		5.25	215.591
			72.6	6.525		5.391	226.395
			72.8	6.249		5.259	212.881
			73	6.982		5.437	248.94
			73.2	5.862		5.27	245.243
			73.4	6.434		5.26	228.605
			73.6	5.815		5.46	194.671
			73.8	6.207		5.352	205.893
			74	7.207		5.476	258.579
			74.2	5.66		5.111	209.341
			74.4	5.957		5.387	236.402
			74.6	6.391		5.411	212.502
			74.8	6.288		5.445	237.198
			75	6.394		5.321	220.953
			75.2	6.561		5.339	232.934
			75.4	6.593		5.297	250.574
			75.6	6.938		5.364	224.35
			75.8	6.676		5.223	212.204
			76	6.566		5.342	202.987
			76.2	6.445		5.273	191.162
			76.4	6.813		5.466	223.674
			76.6	5.976		5.254	205.407
			76.8	5.94		5.381	200.163
			77	6.489		5.369	212.719
			77.2	6.731		5.401	208.568
			77.4	6.378		5.372	228.691
			77.6	6.069		5.253	198.528
			77.8	6.389		5.339	243.274
			78	5.934		5.276	199.203
			78.2	6.177		5.319	198.828
			78.4	6.116		5.318	199.998
			78.6	5.922		5.459	202.559
			78.8	6.277		5.364	231.362
			79	6.303		5.398	219.462
			79.2	6.717		5.436	223.164
			79.4	5.617		5.423	228.276
			79.6	6.35		5.366	218.692
			79.8	6.147		5.413	218.906
			80	6.289		5.279	202.961
			80.2	6.79		5.31	231.795
			80.4	6.013		5.226	205.067
			80.6	6.699		5.302	225.651
			80.8	6.322		5.311	235.352
			81	6.338		5.353	234.981
			81.2	6.966		5.435	246.112
			81.4	6.731		5.141	212.804
			81.6	5.376		5.292	232.68
			81.8	4.871		5.197	221.439
			82	4.786		5.127	199.181
			82.2	3.659		5.139	181.822
			82.4	4.866		5.345	235.526
			82.6	6.545		5.352	222.833
			82.8	5.735		5.247	196.566
			83	6.627		5.173	219.402
			83.2	6.466		5.182	215.813
			83.4	6.869		5.43	247.642
			83.6	6.698		5.251	238.292
			83.8	6.581		5.373	222.372
			84	6.174		5.261	255.029
