Ligand,Mode,Vina_Affinity,CNN_Pose_Confidence,CNN_pKd
candidate_14,9,-7.19,0.9154,7.37
candidate_140,1,-6.68,0.9747,7.475
candidate_140,2,-7.06,0.9647,7.196
candidate_140,3,-6.8,0.9481,7.292
candidate_140,4,-6.33,0.8627,7.237
candidate_140,5,-5.89,0.8465,7.226
candidate_140,6,-7.17,0.8341,7.2
candidate_140,7,-6.58,0.7905,6.952
candidate_140,8,-6.48,0.7585,6.966
candidate_140,9,-7.01,0.7438,6.819
candidate_141,1,17.97,0.7106,6.445
candidate_141,2,26.07,0.6735,6.953
candidate_141,3,-6.19,0.6681,6.659
candidate_141,4,5.41,0.6583,6.712
candidate_141,5,-5.32,0.644,6.638
candidate_141,6,10.75,0.6143,6.299
candidate_141,7,13.33,0.6077,6.203
candidate_141,8,-4.56,0.6074,6.671
candidate_141,9,-0.93,0.5803,6.605
candidate_142,1,-7.15,0.9203,7.193
candidate_142,2,-7.62,0.8987,7.207
candidate_142,3,-6.94,0.7572,6.835
candidate_142,4,-6.82,0.7118,6.841
candidate_142,5,18.51,0.5528,6.253
candidate_142,6,16.22,0.5054,5.908
candidate_142,7,-7.22,0.4703,6.801
candidate_142,8,-7.65,0.4657,6.479
candidate_142,9,-7.46,0.4547,6.627
candidate_143,1,-7.72,0.7142,6.847
candidate_143,2,-8.12,0.626,6.838
candidate_143,3,-7.39,0.6041,6.999
candidate_143,4,-6.92,0.5811,6.632
candidate_143,5,-7.95,0.5712,6.858
candidate_143,6,15.82,0.5686,6.262
candidate_143,7,17.72,0.5365,6.133
candidate_143,8,-7.64,0.5286,6.521
candidate_143,9,8.95,0.5258,6.251
candidate_144,1,-6.88,0.8342,6.625
candidate_144,2,-7.12,0.8164,6.486
candidate_144,3,13.19,0.6914,5.937
candidate_144,4,-6.4,0.6905,6.394
candidate_144,5,15.35,0.6847,6.145
candidate_144,6,21.31,0.6585,6.019
candidate_144,7,-6.45,0.6141,6.356
candidate_144,8,9.4,0.6111,6.011
candidate_144,9,-6.96,0.6102,6.285
candidate_145,1,-6.77,0.9116,7.523
candidate_145,2,-6.85,0.6481,7.106
candidate_145,3,3.94,0.621,6.585
candidate_145,4,14.92,0.6186,6.727
candidate_145,5,6.66,0.6037,5.871
candidate_145,6,8.13,0.5784,6.307
candidate_145,7,12.0,0.571,6.269
candidate_145,8,0.99,0.5412,5.975
candidate_145,9,8.34,0.5368,6.47
candidate_146,1,-7.39,0.9822,7.873
candidate_146,2,-7.89,0.9798,7.792
candidate_146,3,-7.75,0.9665,7.557
candidate_146,4,-7.22,0.9654,7.546
candidate_146,5,-7.72,0.9404,7.422
